accountsservice 0.6.55-1
lpsolve 5.5.2.5-3
lrzip 0.631-2
lsb-release 1.4-12
lua 5.3.5-2
lua52 5.2.4-4
luajit 2.0.5-2
lvm2 2.02.184-4
lxappearance-gtk3 0.6.3-2
lxmenu-data 0.1.5-2
lynx 2.8.9-2
lz4 1:1.9.1-1
lzo 2.10-2
lzop 1.04-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.01-1
manjaro-application-utility 1.1.4-5
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-grub-theme-glassfield 1.4-2
manjaro-hello 0.6.1-3
manjaro-hotfixes 2018.08-6
manjaro-icons 20181011-1
manjaro-keyring 20190608-1
manjaro-openbox-common 1.18-1
manjaro-openbox-config 1.19.0-18
manjaro-openbox-desktop-settings 1.19.0-18
manjaro-openbox-fonts 1.18-1
manjaro-openbox-maia 1.0-1
manjaro-openbox-scripts 2.0.1-1
manjaro-openbox-wallpapers 1.0.1-1
manjaro-openbox-wallpapers-matrix 0.1-1
manjaro-release 18.0.4-1
manjaro-settings-manager 0.5.6-3
manjaro-slick-greeter-theme-glassfield 1.0-1
manjaro-system 20190429-1
manjaro-wallpapers-18.0 1.4-3
manjaro-wallpapers-by-lunix-cool-logo 1.1-1
manjaro-wallpapers-by-lunix-manjaro 1.1-1
manjaro-wallpapers-by-lunix-openbox 1.1-1
manjaro-zsh-config 0.11-1
matcha-gtk-theme 20190622-1
mc 4.8.23-1
mdadm 4.1-1
memtest86+ 5.01-3
menu-cache 1.1.0-1
mesa 19.1.3-1
metis 5.1.0.p6-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-6
mhwd-nvidia 1:430.26-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.116-1
micro-manjaro 1.4.1-1
minizip 1:1.2.11-3
mintstick 1.4.0-1
mkinitcpio 25-2
mkinitcpio-busybox 1.30.1-1
mkinitcpio-openswap 0.1.0-2
mlocate 0.26.git.20170220-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mpg123 1.25.11-1
mpv 1:0.29.1-7
mtdev 1.1.5-2
mypaint-brushes 1.3.0-3
nano 4.3-1
ncurses 6.1-6
ndctl 65-1
neofetch 6.0.0-1
neon 0.30.2-3
net-snmp 5.8-4
net-tools 1.60.20181103git-1
nettle 3.5.1-1
networkmanager 1.18.2-1
networkmanager-dmenu r80.eefd2c3-1
networkmanager-openvpn 1.8.10-1
nfs-utils 2.4.1-1
nfsidmap 2.4.1-1
nftables 1:0.9.1-1
nilfs-utils 2.2.7-1
nitrogen 1.6.1-2
noto-fonts 20190111-2
npth 1.6-1
nspr 4.21-1
nss 3.45-1
