a52dec 0.7.4-10
libxml2 2.9.9-1
libxmu 1.1.3-1
libxpm 3.5.12-2
libxpresent 1.0.0+2+gdd6771c-1
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-2
libxv 1.0.11-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzmf 0.0.2-5
licenses 20181104-1
lightdm 1:1.28.0-3
lightdm-settings 1.2.5-1
lightdm-slick-greeter 1.2.4-1
linux-api-headers 4.17.11-1
linux-firmware 20190313.efd2c1c-1
linux419 4.19.32-1
llvm-libs 8.0.0-1
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
lollypop 1.0.3-1
lpsolve 5.5.2.5-3
lsb-release 1.4-12
lshw B.02.18-3
lua 5.3.5-2
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-1
lua52-socket 20190219-1
lvm2 2.02.184-1
lz4 1:1.8.3-1
lzo 2.10-2
maia-wallpaper 1.2-1
mailcap 2.1.48+14+g5811758-1
man-db 2.8.5-2
man-pages 5.00-1
manjaro-alsa 2012.11-1
manjaro-application-utility 1.1.1-1
manjaro-artwork 1.0.8-4
manjaro-aur-support 0.6-3
manjaro-base-skel 20171029-3
manjaro-browser-settings 20181222-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.1-1
manjaro-hotfixes 2018.08-6
manjaro-icons 20181011-1
manjaro-keyring 20180607-1
manjaro-mate-panel-layout 20170802-1
manjaro-mate-settings 20190410-1
manjaro-printer 20170501-1
manjaro-pulse 2012.11-1
manjaro-release 18.0.4-1
manjaro-settings-manager 0.5.5-5
manjaro-settings-manager-notifier 0.5.5-5
manjaro-system 20190124-3
manjaro-wallpapers-18.0 1.4-3
marco 1.22.0-1
matcha-gtk-theme 20190326-1
mate-applet-dock 0.88-1
mate-applets 1.22.0-1
mate-backgrounds 1.22.0-1
mate-calc 1.22.0-1
mate-control-center 1.22.0-1
mate-desktop 1.22.0-1
mate-icon-theme 1.22.0-1
mate-media 1.22.0-1
mate-menus 1.22.0-1
mate-notification-daemon 1.22.0-1
mate-notification-theme-slate 5-1
mate-panel 1.22.0-1
mate-polkit 1.22.0-1
mate-power-manager 1.22.0-1
mate-screensaver 1.22.0-1
mate-session-manager 1.22.0-1
mate-settings-daemon 1.22.0-1
mate-system-monitor 1.22.0-1
mate-terminal 1.22.0-1
mate-themes 3.22.19-1
mate-tweak 18.10.2-1
mate-user-guide 1.22.0-1
mate-utils 1.22.0-1
mate-wallpapers 20181111-1
mathjax 2.7.5-1
mc 4.8.22-2
mdadm 4.0-2
memtest86+ 5.01-3
mesa 19.0.1-2
mesa-demos 8.4.0-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-6
mhwd-nvidia 1:418.43-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.116-1
mhwd-tui 0.4-1
mjpegtools 2.1.0-4
mkinitcpio 25-1
mkinitcpio-busybox 1.30.1-1
mkinitcpio-openswap 0.1.0-2
mobile-broadband-provider-info 20190116-1
modemmanager 1.10.0-1
mozilla-common 1.4-5
mozo 1.22.0-1
mpfr 4.0.2-1
mpg123 1.25.10-1
mtdev 1.1.5-2
nano 4.0-1
ncurses 6.1-6
ndctl 64.1-2
neon 0.30.2-3
net-snmp 5.8-2
netctl 1.20-1
nettle 3.4.1-1
network-manager-applet 1.8.21dev+3+gb4c365b1-1
networkmanager 1.16.0-1
networkmanager-openconnect 1.2.5dev+110+g524a2e0-2
networkmanager-openvpn 1.8.10-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.3.3-1
nfsidmap 2.3.3-1
nm-connection-editor 1.8.21dev+3+gb4c365b1-1
npth 1.6-1
nspr 4.21-1
nss 3.43-1
nss-mdns 0.14.1-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p13-2
numlockx 1.2-4
openal 1.19.1-2
openconnect 1:8.02-1
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-2
openssh 7.9p1-1.1
openssl 1.1.1.b-1
openssl-1.0 1.0.2.r-1
openvpn 2.4.7-1
opus 1.3-1
orc 0.4.28-1
os-prober 1.76-2
p11-kit 0.23.15-1
pacman 5.1.3-1
pacman-mirrors 4.14.1-1
pacui 1.12-1
pam 1.3.1-1
pamac-dev 7.3.4-1
pambase 20190105.1-1
pango 1:1.43.0-1
pangomm 2.42.0-1
papirus-icon-theme 20190302-1
papirus-maia-icon-theme 20181011-1
parted 3.2-8
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.32-2
pcsclite 1.8.25-1
perl 5.28.1-1
perl-clone 0.41-1
perl-dbi 1.642-1
perl-error 0.17027-1
perl-mailtools 2.20-2
perl-timedate 2.30-5
perl-xml-libxml 2.0134-1
perl-xml-namespacesupport 1.12-3
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-3
pinentry 1.1.0-4
pixman 0.38.0-2
pkcs11-helper 1.25.1-1
plank 0.11.4-2
pluma 1.22.0-1
polkit 0.115+24+g5230646-1
polkit-qt5 0.112.0+git20180107-2
poppler 0.75.0-1
poppler-glib 0.75.0-1
popt 1.16-10
potrace 1.15-1
powertop 2.10-1
ppp 2.4.7-5
pptpclient 1.10.0-1
procps-ng 3.3.15-1.2
protobuf 3.7.0-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pulseaudio-ctl 1.66-1
pulseaudio-zeroconf 12.2-2
pygobject-devel 3.32.0-1
pyqt5-common 5.12.1-1
python 3.7.3-1
python-appdirs 1.4.3-2
python-beautifulsoup4 4.7.1-1
python-cairo 1.18.0-1
python-chardet 3.0.4-2
python-configobj 5.0.6-4
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-gobject 3.32.0-1
python-idna 2.8-1
python-npyscreen 4.10.5-2
python-packaging 19.0-1
python-pillow 5.4.1-1
python-psutil 5.6.1-1
python-pycups 1.9.74-1
python-pycurl 7.43.0.2-2
python-pyparsing 2.3.1-1
python-pyqt5 5.12.1-1
python-requests 2.21.0-1
python-setproctitle 1.1.10-3
python-setuptools 1:40.8.0-1
python-sip-pyqt5 4.19.15-1
python-six 1.12.0-1
python-soupsieve 1.9.0-1
python-urllib3 1.24.1-2
python-xapp 1.4.0-1
python-xdg 0.26-2
python-xlib 0.24-1
python2 2.7.16-1
qpdf 8.4.0-1
qt5-base 5.12.2-1.1
qt5-styleplugins 5.0.0.20170311-12
qt5-svg 5.12.2-1
qt5-x11extras 5.12.2-1
qt5ct 0.38-1
raptor 2.0.15-10
