0ad a23.1-10
gtkhash-nemo 1.3-1
gtkmm3 3.24.2-2
gtksourceview2 2.10.5-5
gtksourceview3 3.24.11+28+g73e57b57-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
gufw 20.04.1-1.1
guile 2.2.6-2
gulp 4.0.2-1
gupnp 1.2.2-1
gupnp-igd 0.2.5+3+gedd78a6-3
gutenprint 5.3.3-2
gvfs 1.44.1-3
gvfs-afc 1.44.1-3
gvfs-gphoto2 1.44.1-3
gvfs-mtp 1.44.1-3
gvfs-smb 1.44.1-3
gzip 1.10-3
hardcode-fixer-git 1:r539.f812186-1
harfbuzz 2.6.7-1
harfbuzz-icu 2.6.7-1
haskell-aeson 1.5.1.0-1
haskell-aeson-pretty 0.8.8-43
haskell-ansi-terminal 0.10.3-20
haskell-ansi-wl-pprint 0.6.9-40
haskell-asn1-encoding 0.9.6-27
haskell-asn1-parse 0.9.5-27
haskell-asn1-types 0.3.4-6
haskell-assoc 1.0.1-1
haskell-async 2.2.2-9
haskell-attoparsec 0.13.2.4-5
haskell-base-compat 0.11.1-7
haskell-base-compat-batteries 0.11.1-27
haskell-base-orphans 0.8.2-30
haskell-base-unicode-symbols 0.2.4.2-6
haskell-base16-bytestring 0.1.1.6-19
haskell-base64-bytestring 1.1.0.0-3
haskell-basement 0.0.11-6
haskell-bifunctors 5.5.7-15
haskell-bitarray 0.0.1.1-16
haskell-blaze-builder 0.4.1.0-12
haskell-blaze-html 0.9.1.2-26
haskell-blaze-markup 0.8.2.5-4
haskell-byteable 0.1.1-18
haskell-case-insensitive 1.2.1.0-9
haskell-cereal 0.5.8.1-5
haskell-cmark-gfm 0.2.1-22
haskell-cmdargs 0.10.20-12
haskell-colour 2.3.5-44
haskell-comonad 5.0.6-23
haskell-conduit 1.3.2-12
haskell-conduit-extra 1.3.5-15
haskell-connection 0.3.1-32
haskell-cookie 0.4.5-5
haskell-cryptonite 0.26-38
haskell-data-accessor 0.2.3-5
haskell-data-accessor-template 0.2.1.16-13
haskell-data-accessor-transformers 0.2.1.7-19
haskell-data-default 0.7.1.1-56
haskell-data-default-class 0.1.2.0-17
haskell-data-default-instances-containers 0.0.1-29
haskell-data-default-instances-dlist 0.0.1-69
haskell-data-default-instances-old-locale 0.0.1-29
haskell-digest 0.0.1.2-18
haskell-distributive 0.6.2-4
haskell-dlist 0.8.0.8-4
haskell-doclayout 0.3-14
haskell-doctemplates 0.8.2-11
haskell-emojis 0.1-17
haskell-entropy 0.4.1.6-2
haskell-erf 2.0.0.0-17
haskell-errors 2.3.0-54
haskell-gitrev 1.3.1-20
haskell-glob 0.10.0-42
haskell-haddock-library 1.8.0-60
haskell-hashable 1.3.0.0-5
haskell-hourglass 0.2.12-52
haskell-hs-bibutils 6.10.0.0-2
haskell-hslogger 1.3.1.0-26
haskell-hslua 1.1.1-1
haskell-hslua-module-system 0.2.1-40
haskell-hslua-module-text 0.2.1-49
haskell-hsyaml 0.2.1.0-22
haskell-hsyaml-aeson 0.2.0.0-38
haskell-http 4000.3.14-198
haskell-http-client 0.7.0-3
haskell-http-client-tls 0.3.5.3-239
haskell-http-types 0.12.3-56
haskell-hxt 9.3.1.18-81
haskell-hxt-charproperties 9.4.0.0-5
haskell-hxt-regex-xmlschema 9.2.0.3-21
haskell-hxt-unicode 9.0.2.4-17
haskell-integer-logarithms 1.0.3-6
haskell-ipynb 0.1.0.1-29
haskell-jira-wiki-markup 1.1.4-6
haskell-juicypixels 3.3.5-6
haskell-libyaml 0.1.2-29
haskell-memory 0.15.0-18
haskell-mime-types 0.1.0.9-7
haskell-mono-traversable 1.0.15.1-32
haskell-network 3.1.1.1-13
haskell-network-bsd 2.8.1.0-6
haskell-network-uri 2.6.3.0-91
haskell-network2.8 2.8.0.1-6
haskell-old-locale 1.0.0.7-23
haskell-old-time 1.1.0.3-23
haskell-open-browser 0.2.1.0-19
haskell-optparse-applicative 0.15.1.0-36
haskell-pandoc-types 1.20-39
haskell-pem 0.2.4-83
haskell-primitive 0.7.0.1-2
haskell-quickcheck 2.14-8
haskell-random 1.1-21
haskell-regex-base 0.94.0.0-4
haskell-regex-pcre 0.95.0.0-4
haskell-regex-tdfa 1.3.1.0-4
haskell-resourcet 1.2.4-4
haskell-rfc5051 0.1.0.4-9
haskell-roman-numerals 0.5.1.5-23
haskell-safe 0.3.19-1
haskell-sandi 0.5-114
haskell-scientific 0.3.6.2-22
haskell-setenv 0.1.1.3-18
haskell-sha 1.6.4.4-12
haskell-skylighting 0.8.4-10
haskell-skylighting-core 0.8.4-10
haskell-socks 0.6.1-26
haskell-split 0.2.3.4-28
haskell-splitmix 0.0.4-19
haskell-streaming-commons 0.2.1.2-20
haskell-syb 0.7.1-5
haskell-tagged 0.8.6-10
haskell-tagsoup 0.14.8-32
haskell-temporary 1.3-68
haskell-texmath 0.12.0.2-20
haskell-text-conversions 0.3.0-26
haskell-text-icu 0.7.0.1-32
haskell-th-abstraction 0.3.2.0-4
haskell-these 1.1-1
haskell-time-compat 1.9.3-6
haskell-tls 1.5.4-12
haskell-transformers-compat 0.6.5-5
haskell-typed-process 0.2.6.0-31
haskell-unicode-transforms 0.3.6-5
haskell-unliftio-core 0.2.0.1-2
haskell-unordered-containers 0.2.10.0-40
haskell-utf8-string 1.0.1.1-17
haskell-utility-ht 0.0.15-2
haskell-uuid-types 1.0.3-28
haskell-vector 0.12.1.2-22
haskell-vector-algorithms 0.8.0.3-20
haskell-x509 1.7.5-59
haskell-x509-store 1.6.7-58
haskell-x509-system 1.6.6-126
haskell-x509-validation 1.6.11-58
haskell-xml 1.3.14-23
haskell-xml-conduit 1.9.0.0-19
haskell-xml-types 0.3.6-23
haskell-yaml 0.11.4.0-10
haskell-zip-archive 0.4.1-35
haskell-zlib 0.6.2.1-5
hatari 2.2.1-1
haveged 1.9.8-2
hdparm 9.58-3
hedgewars 1.0.0-69
hexchat 2.14.3-1
hicolor-icon-theme 0.17-2
hplip 1:3.20.5-2
hspell 1.4-3
htop 2.2.0-3
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-en_US 2019.10.06-1
hwids 20200306-1
hwinfo 21.70-2
hwloc 2.2.0-1
hydra 9.0-1
hyphen 2.8.8-3
iana-etc 20200601-1
icon-naming-utils 0.8.90-5
icoutils 0.32.3-2
icu 67.1-1
iec16022 0.3.0-2
ijs 0.35-3
imagemagick 7.0.10.16-2
imlib2 1.6.1-2
inetutils 1.9.4-8
iniparser 4.1-2
intel-tbb 2020.2-1
intel-ucode 20200520-1
intltool 0.51.0-5
inxi 3.0.37-1
iproute2 5.7.0-1
ipscan 3.7.2-1
iptables 1:1.8.4-1.1
iputils 20190709-2
ipw2100-fw 1.3-10
ipw2200-fw 3.1-8
ipython 7.15.0-1
iso-codes 4.4-2
iso-flag-png 1.0.1-1
itstool 1:2.0.6-2
iw 5.4-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.16-2
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.18-1
jdk-openjdk 14.0.1.u7-1
jfsutils 1.1.15-7
jq 1.6-2
jre-openjdk 14.0.1.u7-1
jre-openjdk-headless 14.0.1.u7-1
jre8-openjdk 8.u252-1
jre8-openjdk-headless 8.u252-1
js52 52.9.0-4
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
jsoncpp 1.9.2-1
jupyter 4.6.3-1
jupyter-nbconvert 5.6.1-1
jupyter-nbformat 5.0.6-1
jupyter-notebook 6.0.3-1
jupyter-widgetsnbextension 1:3.5.1-1
jupyter_console 6.1.0-1
jupyterlab 2.1.4-1
jupyterlab_server 1.1.5-1
karchive 5.70.0-1
kauth 5.70.0-1
kbd 2.2.0-5
kbookmarks 5.70.0-1
kbreakout 20.04.1-1
kcodecs 5.70.0-1
kcompletion 5.70.0-1
kconfig 5.70.0-1
kconfigwidgets 5.70.0-1
kcoreaddons 5.70.0-1
kcrash 5.70.0-1
kdbusaddons 5.70.0-1
kdeclarative 5.70.0-1
kded 5.70.0-1
kdnssd 5.70.0-1
keepnote 0.7.8-4
keyutils 1.6.1-4
kglobalaccel 5.70.0-1
kguiaddons 5.70.0-1
ki18n 5.70.0-1
kiconthemes 5.70.0-1
kio 5.70.1-1
kitemmodels 5.70.0-1
kitemviews 5.70.0-1
kjobwidgets 5.70.0-1
kmod 27-1
knewstuff 5.70.0-1
knotifications 5.70.0-1
kpackage 5.70.0-1
krb5 1.18.1-1
kservice 5.70.0-1
ktextwidgets 5.70.0-1
kvantum-manjaro 0.13.5-1
kvantum-qt5 0.15.3-1
kwallet 5.70.0-1
kwidgetsaddons 5.70.0-1
kwindowsystem 5.70.0-1
kxmlgui 5.70.0-1
l-smash 2.14.5-2
ladspa 1.15-2
lame 3.100-3
lapack 3.9.0-3
lcms2 2.10-1
ldb 1:2.1.3-1
ldns 1.7.1-2
lensfun 0.3.95-2
less 551-3
lib32-acl 2.2.53-1
lib32-alsa-lib 1.2.2-1
lib32-alsa-oss 1.1.8-2
lib32-alsa-plugins 1.2.2-1
lib32-at-spi2-atk 2.34.2-1
lib32-at-spi2-core 2.36.0-1
lib32-atk 2.36.0-1
lib32-attr 2.4.48-1
lib32-brotli 1.0.7-1
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.2+25+gaee96d175-1
lib32-colord 1.4.4-1
lib32-cracklib 2.9.7-1
lib32-curl 7.70.0-1
lib32-db 5.3.28-4
lib32-dbus 1.12.16-2
lib32-dbus-glib 0.110-2
lib32-dconf 0.36.0-1
lib32-e2fsprogs 1.45.6-1
lib32-expat 2.2.9-1
lib32-faudio 20.06-1
lib32-flac 1.3.3-1
lib32-flex 2.6.4-2
lib32-fluidsynth 2.1.3-1
lib32-fontconfig 2:2.13.1+12+g5f5ec56-1
lib32-freeglut 3.2.1-1
lib32-freetype2 2.10.2-1
lib32-fribidi 1.0.9-1
lib32-gcc-libs 10.1.0-2
lib32-gdk-pixbuf2 2.40.0-1
lib32-gettext 0.20.2-1
lib32-giflib 5.2.1-1
lib32-glew 2.2.0-1
lib32-glew1.10 1.10.0-4
lib32-glib-networking 2.64.3-1
lib32-glib2 2.64.3-1
lib32-glibc 2.31-5
lib32-glu 9.0.1-1
lib32-gmp 6.2.0-1
lib32-gnutls 3.6.14-1
lib32-gst-plugins-base-libs 1.16.2-1
lib32-gstreamer 1.16.2-1
lib32-gtk2 2.24.32-2
lib32-gtk3 3.24.20-1
lib32-harfbuzz 2.6.7-1
lib32-icu 67.1-1
lib32-imlib2 1.6.1-1
lib32-jack 0.125.0-3
lib32-json-glib 1.4.4-1
lib32-keyutils 1.6.1-1
lib32-krb5 1.18.2-1
lib32-lcms2 2.9-2
lib32-libappindicator-gtk2 12.10.0-11
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcaca 0.99.beta19-2
lib32-libcanberra 0.30+2+gc0620e4-3
lib32-libcanberra-gstreamer 0.30+2+gc0620e4-3
lib32-libcanberra-pulse 0.30+2+gc0620e4-3
lib32-libcap 2.33-1
lib32-libcups 2.3.3-1
lib32-libcurl-compat 7.70.0-1
